file_id,file_path,file_name,language,ground_truth_transcript,ground_truth_tagged_transcript,nonverbal_tags_json,background_tags_json,emotion_tags_json,speech_present,multiple_speakers,noise_level,annotator,review_status,notes
LinusSebastian_shows_MarcelloHernandez_Jimmy_the_Lollipop_Star_FallonTonight_cafb6eb43684,audio\Audio-short\#LinusSebastian  shows  #MarcelloHernandez  & Jimmy the Lollipop Star!  #FallonTonight.mp3,#LinusSebastian  shows  #MarcelloHernandez  & Jimmy the Lollipop Star!  #FallonTonight.mp3,,,,[],[],[],,,,,draft,
n_h_t_ki_p_n_y_t_i_v_n_mu_n_Hari_Won_l_m_v_c_a_t_i__Tr_n_Th_nh_m_n_l_i_t_t_nh_v__5deca042f3c0,"audio\Audio-short\_Đến hết kiếp này, tôi vẫn muốn Hari Won làm vợ của tôi_ Trấn Thành mượn lời tỏ tình với vợ  #Shorts.mp3","_Đến hết kiếp này, tôi vẫn muốn Hari Won làm vợ của tôi_ Trấn Thành mượn lời tỏ tình với vợ  #Shorts.mp3",,,,[],[],[],,,,,draft,
H_m_nay_chia_s_nhanh_m_t_c_u_n_i_v_vi_c_h_c_c_a_B_c_H_48eebb92fb2d,audio\Audio-short\Hôm nay chia sẻ nhanh một câu nói về việc học của Bác Hồ ❤️.mp3,Hôm nay chia sẻ nhanh một câu nói về việc học của Bác Hồ ❤️.mp3,,,,[],[],[],,,,,draft,
Ice_cream_in_India_is_so_strange_you_have_to_beat_it_with_a_hammer_to_eat_it._In_824ae29722e6,"audio\Audio-short\Ice cream in India is so strange, you have to beat it with a hammer to eat it. Indian culinary to....mp3","Ice cream in India is so strange, you have to beat it with a hammer to eat it. Indian culinary to....mp3",,,,[],[],[],,,,,draft,
Ki_p_s_ng_n_y_r_i_s_bi_n_m_t_-_Quang_i_haveasip_vietcetera_podcast_quangdai_thuy_8ad6043e31a2,audio\Audio-short\Kiếp sống này rồi sẽ biến mất  - Quang Đại  #haveasip   #vietcetera   #podcast   #quangdai   #thuyminh.mp3,Kiếp sống này rồi sẽ biến mất  - Quang Đại  #haveasip   #vietcetera   #podcast   #quangdai   #thuyminh.mp3,,,,[],[],[],,,,,draft,
L_n_u_g_p_em_ng_i_y_u_yeulanh_binz_vietcetera_podcast_01eaa383acd7,audio\Audio-short\Lần đầu gặp em người yêu  #yeulanh   #binz   #vietcetera_podcast.mp3,Lần đầu gặp em người yêu  #yeulanh   #binz   #vietcetera_podcast.mp3,,,,[],[],[],,,,,draft,
This_was_BAD_shorts_funny_fail_7e67c146fbe9,audio\Audio-short\This was BAD  #shorts   #funny   #fail.mp3,This was BAD  #shorts   #funny   #fail.mp3,,,,[],[],[],,,,,draft,
Tran_Thanh_is_crazy_about_the_boy_Marcus_Pham_because_of_his_adorable_speaking_t_0eb26e6b6fa3,audio\Audio-short\Tran Thanh is crazy about the boy Marcus Pham because of his adorable speaking talent..mp3,Tran Thanh is crazy about the boy Marcus Pham because of his adorable speaking talent..mp3,,,,[],[],[],,,,,draft,
T_nh_y_u_c_th_t_s_quan_tr_ng_hay_kh_ng___To_To_postcard_t_nhy_u_tamtrang_podcast_c7147cdf2d2a,audio\Audio-short\Tình yêu có thật sự quan trọng hay không _ To To postcard  #tìnhyêu   #tamtrang   #podcast.mp3,Tình yêu có thật sự quan trọng hay không _ To To postcard  #tìnhyêu   #tamtrang   #podcast.mp3,,,,[],[],[],,,,,draft,
T_i_sao___jennyhuynh__gi_u_vi_c_l_m_content__-_vietcetera_podcast_genz_genztruye_acce78579516,audio\Audio-short\Tại sao  _@jennyhuynh_  giấu việc làm content_ -  #vietcetera   #podcast   #genz   #genztruyen   #jennyhuynh.mp3,Tại sao  _@jennyhuynh_  giấu việc làm content_ -  #vietcetera   #podcast   #genz   #genztruyen   #jennyhuynh.mp3,,,,[],[],[],,,,,draft,
